No.,sale date,sale bill no,sale weight (kg),PDF candidates found,PDF candidate details,MT candidates found,MT candidate details,recommendation
1,08/01/2569,A2007349,2.9,0,,0,,No matching sorting events found — may need to create sorting movement manually
2,05/02/2569,A2007395,53.2,0,,0,,No matching sorting events found — may need to create sorting movement manually
3,21/04/2569,A2007502,56,0,,0,,No matching sorting events found — may need to create sorting movement manually
4,04/07/2569,A2007621,22.6,0,,0,,No matching sorting events found — may need to create sorting movement manually
