date,session_id,count_date,created_at,group,status,applied_at,applied_by_id,reversal_of_id,item_count,items_summary
2026-07-08,cmrbzw8te0000jo04qz2skp4q,2026-07-08T10:00:00.000Z,2026-07-08T11:29:12.098Z,ทองแดง,DRAFT,,,,5,ทองแดงปอกเงา(1.45kg); ทองแดงช็อต(4.6kg); ทองแดงใหญ่(2.4kg); ทองแดงเล็ก(0.1kg); ทองแดงชุบ(1.25kg)
2026-07-08,cmrbzwau00007jo043ivzvzcz,2026-07-08T10:00:00.000Z,2026-07-08T11:29:14.713Z,ทองเหลือง,DRAFT,,,,3,ทองเหลืองหนา(2.15kg); ทองเหลืองเกินจาก ST(1.6kg); ทองเหลืองขาดจาก ST(0.08kg)
2026-07-08,cmrdae0vh0000sgmjvb5aiu0n,2026-07-08T10:00:00.000Z,2026-07-09T09:10:43.950Z,ทองแดง/ทองเหลือง,DRAFT,,,,3,ทองแดงใหญ่(6kg); ทองเหลืองหนา(6.34kg); ทองเหลืองเนื้อแดง(0.84kg)
2026-07-09,cmrdqgfru0000sn8fdmtjjnla,2026-07-09T10:00:00.000Z,2026-07-09T16:40:30.426Z,ทองแดง/ทองเหลือง,APPLIED,2026-07-11T06:37:35.914Z,user_01_default,,8,ทองแดงปอกเงา(0kg); ทองแดงช็อต(1.16kg); ทองแดงท่อ Candy(0kg); ทองแดงใหญ่(8.08kg); ทองแดงเล็ก(7.18kg); ทองแดงชุบ(0kg); ทองเหลืองหนา(7.92kg); ทองเหลืองเนื้อแดง(1.34kg)
2026-07-10,cmrfzuu1b0002la044u1ikzzd,2026-07-10T00:00:00.000Z,2026-07-11T06:39:10.991Z,ทองแดง/ทองเหลือง,APPLIED,2026-07-11T06:39:26.056Z,user_01_default,,1,ทองแดงช็อต(3.8kg)
