No.,raw name,confirmed mapping,record,productId,product exists,stock (kg)
1,ทองเหลืองหน้าแดง,ทองเหลืองเนื้อแดง,1,prod_mqgp9bmg24ygg55yytz9jphl,YES,0
2,ทองเหลือง,ทองเหลืองหนา,"1,2",prod_mqgp9bspglewfbgukggj7wdy,YES,2.2
3,ตะกั่วแข่ง,ตะกั่วแข็ง,1,prod_mqgp9h6flpekakyzewnjsp1y,YES,207.6
4,สแตนเลส 304,สแตนเลส 304,1,prod_mqgp9caefhv0hs74sfuubrmr,YES,6230.200000000001
5,อลูมิเนียมแข็ง,อลูมิเนียมแข็ง (หล่อ/หนา),1,prod_mqgp9do7ui6p53xv2tbjq7tb,YES,1156.4000000000005
6,สายไฟ (3.1kg @30),สายไฟทองแดง,2,cmr7up02q000hmzw7wkn7huiq,YES,986.3
7,สายไฟ (9.4kg @50),สายไฟทองแดง,2,cmr7up02q000hmzw7wkn7huiq,YES,986.3
