product name,raw product name,bill date,start date,reason,weight,amount,bill number,source row number
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,14/3/2569,25/06/2569,before product start date,35.2,2675.2,A1049549,3336
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,14/3/2569,25/06/2569,before product start date,4.8,331.2,A1049525,3337
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,16/3/2569,25/06/2569,before product start date,11.6,800.4,A1049571,3338
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,16/3/2569,25/06/2569,before product start date,4.4,303.6,A1049554,3339
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,16/3/2569,25/06/2569,before product start date,0.7,48.3,A1049559,3340
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,18/3/2569,25/06/2569,before product start date,39,3042,A1049605,3341
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,19/3/2569,25/06/2569,before product start date,50.8,3962.4,A1049622,3342
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,21/3/2569,25/06/2569,before product start date,21.6,1663.2,A1049648,3343
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,23/3/2569,25/06/2569,before product start date,0.4,26.8,A1049667,3344
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,23/3/2569,25/06/2569,before product start date,11.2,784,A1049653,3345
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,25/3/2569,25/06/2569,before product start date,54,4212,A1049707,3346
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,28/3/2569,25/06/2569,before product start date,8.8,633.6,A1049755,3347
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,30/3/2569,25/06/2569,before product start date,34.6,2733.4,A1049778,3348
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,30/3/2569,25/06/2569,before product start date,3.2,230.4,A1049766,3349
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,3/4/2569,25/06/2569,before product start date,11,803,A1049838,3350
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,4/4/2569,25/06/2569,before product start date,0.4,28,A1049856,3351
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,4/4/2569,25/06/2569,before product start date,26.6,2128,A1049855,3352
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,9/4/2569,25/06/2569,before product start date,35.2,2569.6,A1049946,3353
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,11/4/2569,25/06/2569,before product start date,69.6,5637.6,A1049997,3354
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,11/4/2569,25/06/2569,before product start date,11.6,858.4,A1049984,3355
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,16/4/2569,25/06/2569,before product start date,7.3,540.2,A1050011,3356
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,17/4/2569,25/06/2569,before product start date,0.6,42.6,A1050035,3357
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,18/4/2569,25/06/2569,before product start date,2.4,170.4,A1050052,3358
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,18/4/2569,25/06/2569,before product start date,78,6318,A1050050,3359
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,18/4/2569,25/06/2569,before product start date,42.4,3434.4,A1050053,3360
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,20/4/2569,25/06/2569,before product start date,245,17395,A1050073,3361
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,20/4/2569,25/06/2569,before product start date,202,14342,A1050076,3362
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,20/4/2569,25/06/2569,before product start date,56,4536,A1050080,3363
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,24/4/2569,25/06/2569,before product start date,11.6,893.2,A1050145,3364
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,25/4/2569,25/06/2569,before product start date,0.3,22.8,A1050176,3365
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,25/4/2569,25/06/2569,before product start date,33,2772,A1050170,3366
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,30/4/2569,25/06/2569,before product start date,15.8,1248.2,A1050275,3367
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,30/4/2569,25/06/2569,before product start date,27,2268,A1050260,3368
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,4/5/2569,25/06/2569,before product start date,0.8,60.8,A1050295,3369
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,5/5/2569,25/06/2569,before product start date,45,3825,A1050330,3370
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,5/5/2569,25/06/2569,before product start date,4.4,352,A1050320,3371
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,5/5/2569,25/06/2569,before product start date,6.7,529.3,A1050319,3372
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,9/5/2569,25/06/2569,before product start date,15.4,1309,A1050416,3373
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,11/5/2569,25/06/2569,before product start date,1.4,107.8,A1050438,3374
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,12/5/2569,25/06/2569,before product start date,3.3,267.3,A1050458,3375
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,14/5/2569,25/06/2569,before product start date,2.8,226.8,A1050482,3376
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,15/5/2569,25/06/2569,before product start date,1.4,109.2,A1050505,3377
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,16/5/2569,25/06/2569,before product start date,2.9,232,A1050522,3378
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,16/5/2569,25/06/2569,before product start date,10,810,A1050534,3379
