No.,product name,start date,output filename,rows included,total weight included,total amount included,first purchase date included,last purchase date included,rows excluded before start date,weight excluded before start date,amount excluded before start date,match status,note
46,ฝาอลูมิเนียม,23/06/2569,ฝาอลูมิเนียมเริ่ม 23-06-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
47,ฝาอลูมิเนียมไม่แกะ,06/07/2569,ฝาอลูมิเนียมไม่แกะเริ่ม 06-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
48,อลูมิเนียมแผ่นเพลท,23/06/2569,อลูมิเนียมแผ่นเพลทเริ่ม 23-06-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
49,อลูมิเนียมฉากสี,05/07/2569,อลูมิเนียมฉากสีเริ่ม 05-07-2569.csv,0,0,0,,,43,382.3,28405.22,matched_excluded,
50,กระป๋องสเปรย์อลูมิเนียม,05/07/2569,กระป๋องสเปรย์อลูมิเนียมเริ่ม 05-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
51,ปั๊มกระป๋อง,05/07/2569,ปั๊มกระป๋องเริ่ม 05-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
52,ฟรอยอลูมิเนียม,05/07/2569,ฟรอยอลูมิเนียมเริ่ม 05-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
53,ฝาอลูมิเนียมเผา,05/07/2569,ฝาอลูมิเนียมเผาเริ่ม 05-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
54,อลูมิเนียมตูดหม้อหุงข้าว,05/07/2569,อลูมิเนียมตูดหม้อหุงข้าวเริ่ม 05-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
55,อลูมิเนียมแข็งติดสี,23/06/2569,อลูมิเนียมแข็งติดสีเริ่ม 23-06-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
56,อลูมิเนียมแข็งลูกสูบ,06/07/2569,อลูมิเนียมแข็งลูกสูบเริ่ม 06-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
57,อลูมิเนียมแข็งก้านเบรค,06/07/2569,อลูมิเนียมแข็งก้านเบรคเริ่ม 06-07-2569.csv,0,0,0,,,0,0,0,matched_zero_rows_in_source,no purchase rows in source period
