source sheet,source row number,sale date,product start date,bill number,buyer/customer code,buyer/customer name,raw product name,matched product name,product code,weight,unit,price per kg,amount,note,exclusion reason
Sheet1,405,05/02/2569,04/07/2569,A2007395,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงปอกช็อต,ทองแดงช็อต,0302,76.8,กก.,378.984375,29106,,Sale date is before product start date
Sheet1,406,27/02/2569,04/07/2569,A2007422,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงปอกช็อต,ทองแดงช็อต,0302,69.8,กก.,390.988538681948,27291,,Sale date is before product start date
Sheet1,407,21/04/2569,04/07/2569,A2007502,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงปอกช็อต,ทองแดงช็อต,0302,310.8,กก.,402.258687258687,125022,,Sale date is before product start date
Sheet1,408,14/05/2569,04/07/2569,A2007535,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงปอกช็อต,ทองแดงช็อต,0302,119.4,กก.,410.301507537688,48990,,Sale date is before product start date
Sheet1,409,27/05/2569,04/07/2569,A2007557,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงปอกช็อต,ทองแดงช็อต,0302,104.4,กก.,430.268199233716,44920,,Sale date is before product start date
Sheet1,410,16/06/2569,04/07/2569,A2007590,026,เอ็น เอส  (นิว โซลูชั่น),ทองแดงปอกช็อต,ทองแดงช็อต,0302,62.9,กก.,464.66613672496004,29227.5,,Sale date is before product start date
Sheet1,414,08/01/2569,04/07/2569,A2007349,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงใหญ่,ทองแดงใหญ่,0303,152,กก.,348.8486842105261,53025,,Sale date is before product start date
Sheet1,415,05/02/2569,04/07/2569,A2007395,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงใหญ่,ทองแดงใหญ่,0303,97.2,กก.,359.104938271605,34905,,Sale date is before product start date
Sheet1,416,27/02/2569,04/07/2569,A2007422,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงใหญ่,ทองแดงใหญ่,0303,89.2,กก.,374.159192825112,33375,,Sale date is before product start date
Sheet1,417,21/04/2569,04/07/2569,A2007502,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงใหญ่,ทองแดงใหญ่,0303,388.6,กก.,381.8013381369021,148368,,Sale date is before product start date
Sheet1,418,14/05/2569,04/07/2569,A2007535,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงใหญ่,ทองแดงใหญ่,0303,103.5,กก.,408.811594202899,42312,,Sale date is before product start date
Sheet1,419,27/05/2569,04/07/2569,A2007557,0009,ร้าน เอส.เอ็ม.เอ รีไซเคิล (สมพร),ทองแดงใหญ่,ทองแดงใหญ่,0303,72.1,กก.,411.13730929264904,29643,,Sale date is before product start date
Sheet1,420,16/06/2569,04/07/2569,A2007590,026,เอ็น เอส  (นิว โซลูชั่น),ทองแดงใหญ่,ทองแดงใหญ่,0303,274.3,กก.,421.86474662778,115717.5,,Sale date is before product start date
Sheet1,424,08/01/2569,04/07/2569,A2007349,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงเล็ก,ทองแดงเล็ก,0304,108.60000000000001,กก.,341.50552486187803,37087.5,,Sale date is before product start date
Sheet1,425,05/02/2569,04/07/2569,A2007395,0063,บริษัท นิวโซลูชั่นส์ (ไทยแลนด์) จำกัด สำนักงานใหญ่,ทองแดงเล็ก,ทองแดงเล็ก,0304,62,กก.,355,22010,,Sale date is before product start date
