bill_number,exists,model,type,id,date,createdAt,room,source_product,source_weight,output_count,isCancelled,outputs
TRN-2569-00006,true,StockTransfer,แกะของ (StockTransfer),cmrc3nnjh0001jy04yu8s3cat,2026-07-08T10:00:00.000Z,2026-07-08T13:14:29.741Z,24,ของแกะราคาสูง,2.1,2,false,"ตะกั่วแข็ง(1.9kg), เหล็กบาง(0.2kg)"
TRN-2569-00008,true,StockTransfer,แกะของ (StockTransfer),cmrd404o80001i8046f99gnjm,2026-07-08T10:00:00.000Z,2026-07-09T06:11:57.992Z,21,เหล็กหนาสั้น,62.6,12,false,"อลูมิเนียมฉาก(2.2kg), เหล็กหนาสั้น(3.9kg), อลูมิเนียมบาง(0.3kg), ทองแดงใหญ่(0.4kg), ทองเหลืองเนื้อแดง(0.8kg), ทองเหลืองหนา(4.1kg), หม้อน้ำอลูมิเนียม(1.3kg), หม้อน้ำทองแดง(1.2kg), ตะกั่วแข็ง(0.3kg), สแตนเลส 304(4.7kg), อลูมิเนียมแข็ง (หล่อ/หนา)(41.4kg), ขยะ(1.9kg)"
TRN-2569-00009,true,StockTransfer,แกะของ (StockTransfer),cmrd40ti70013i804ymlbxjur,2026-07-08T10:00:00.000Z,2026-07-09T06:12:30.175Z,22,เครื่องจักร,20.6,6,false,"ทองเหลืองหนา(1.9kg), ขยะ(0.6kg), เปลือกสายไฟ(1.3kg), เหล็กบาง(4.1kg), สายไฟทองแดง(3.1kg), สายไฟทองแดง(9.4kg)"
