tab,total_non_cancelled,page1_count,page1_bills
คัดแยก (SortingBill),135,10,SORT-2569-00152(2026-07-07) | SORT-2569-00151(2026-07-06) | SORT-2569-00150(2026-07-06) | SORT-2569-00149(2026-07-04) | SORT-2569-00147(2026-07-02) | SORT-2569-00141(2026-07-01) | SORT-2569-00140(2026-07-01) | SORT-2569-00139(2026-06-29) | SORT-2569-00133(2026-06-26) | null(2026-06-25)
แกะของ (StockTransfer),6,6,TRN-2569-00010(2026-07-09) | TRN-2569-00009(2026-07-08) | TRN-2569-00008(2026-07-08) | TRN-2569-00006(2026-07-08) | TRN-2569-00005(2026-07-08) | TRN-2569-00002(2026-07-01)
